SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,SCQ_11,SCQ_12,SCQ_13,SCQ_14,SCQ_15,SCQ_16,SCQ_17,SCQ_18,SCQ_19,SCQ_20,SCQ_21,SCQ_22,SCQ_23,SCQ_24,SCQ_25,SCQ_26,SCQ_27,SCQ_28,SCQ_29,SCQ_30,SCQ_31,SCQ_32,SCQ_33,SCQ_34,SCQ_35,SCQ_36,SCQ_37,SCQ_38,SCQ_39,SCQ_40,SCQ_41,SCQ_42,SCQ_43,SCQ_44,SCQ_45,SCQ_46,SCQ_47,SCQ_48,SCQ_49,SCQ_attention1,SCQ_attention2,Impact_knowledge_1,Impact_knowledge_2,Impact_knowledge_3,Impact_knowledge_4,Impact_knowledge_5,Impact_knowledge_6,Impact_knowledge_7,Impact_knowledge_8,Impact_knowledge_9,Impact_knowledge_10,Impact_knowledge_11,Impact_knowledge_12,Impact_knowledge_13,GHA1,GHA2,GHA3,PEB_M1_1,PEB_M1_2,PEB_M1_3,PEB_M1_4,PEB_M1_5,PEB_M1_6,PEB_M1_7,PEB_M1_8,PEB_M1_9,PEB_M2_1,PEB_M2_2,PEB_M2_3,PEB_M2_4,PEB_M2_5,PEB_M2_6,PEB_M3_1,PEB_M3_2,PEB_M3_3,PEB_M4_1,PEB_M4_2,SOD_1,SOD_2,SOD_3,SOD_4,SOD_5,SOD_6,SOD_7,SOD_8,SOD_9,SOD_10,SOD_11,SOD_12,SOD_13,SOD_14,SOD_15,SOD_16,IRI_1,IRI_2,IRI_3,IRI_4,IRI_5,IRI_6,IRI_7,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10,GCS_1,GCS_2,GCS_3,GCS_4,GCS_5,îNóÓ,ê´ï 
4,1,5,5,4,5,4,5,5,4,4,4,4,5,4,5,4,4,2,4,5,3,4,4,5,4,4,4,5,4,4,4,4,3,3,3,1,5,4,3,3,3,3,4,4,4,1,3,5,1,3,2,3,2,2,2,3,2,3,2,2,3,3,2,2,1,3,1,1,3,3,2,5,3,4,2,99,99,99,99,99,99,2,99,3,1,1,2,5,3,4,5,3,5,4,5,5,6,5,5,5,7,5,3,3,4,4,2,2,2,4,5,6,2,4,4,5,4,5,3,3,1,1,2,2,48,2
5,1,5,5,4,5,5,5,4,5,5,5,4,4,4,4,5,4,2,5,5,1,5,4,5,5,4,5,5,5,3,4,2,4,5,3,3,5,5,4,2,2,4,4,4,3,3,3,4,1,3,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,2,4,1,4,6,6,6,4,4,4,7,4,4,4,6,4,5,1,4,1,1,3,2,3,3,5,2,4,4,5,5,5,6,5,6,5,6,4,4,4,4,2,2,2,4,4,4,4,5,4,5,4,5,4,2,3,2,2,3,52,2
4,1,5,3,5,4,4,5,4,4,5,5,5,5,5,5,5,5,2,3,4,3,5,4,3,2,4,5,5,5,4,4,2,3,4,4,2,5,5,5,3,1,5,1,5,2,1,3,4,1,3,3,3,3,3,3,2,3,3,99,2,3,3,1,1,1,1,1,1,5,1,4,5,1,1,6,6,1,1,1,7,1,7,99,5,1,1,5,1,6,1,4,4,3,2,7,7,5,4,6,6,5,7,4,5,5,3,2,1,2,4,4,2,5,7,4,4,4,6,2,2,3,2,3,2,49,2
3,1,5,4,99,4,4,5,4,4,4,4,4,4,4,4,4,4,1,5,5,1,4,4,4,4,4,4,4,4,2,3,4,3,3,2,3,4,3,3,5,1,3,3,5,1,2,2,1,1,3,3,99,3,3,3,3,3,3,1,3,3,3,99,3,1,1,1,1,2,3,3,3,1,4,5,99,99,99,99,99,99,99,5,5,1,1,4,2,3,4,1,4,1,4,5,4,6,5,4,4,2,7,3,5,3,3,2,2,1,1,4,1,6,2,6,5,6,2,6,4,1,3,1,2,34,2
4,1,5,4,4,4,4,5,99,4,5,5,4,4,5,4,4,4,1,4,5,2,5,5,4,4,4,5,5,5,4,4,4,3,4,2,2,4,4,4,3,1,4,3,4,2,1,5,2,1,3,3,3,3,3,99,3,3,3,99,99,3,3,1,2,1,2,1,4,3,5,4,6,5,1,4,99,99,99,99,99,99,7,99,3,1,1,2,2,3,1,4,2,2,4,6,6,6,6,6,4,6,6,4,5,4,4,2,2,2,2,4,5,6,6,6,6,5,4,5,2,3,2,3,3,42,2
5,1,5,5,5,4,3,5,4,4,5,5,5,5,5,5,5,5,3,5,4,3,4,5,3,3,4,5,3,5,3,5,5,3,5,1,3,5,5,5,2,1,4,1,5,2,3,5,4,1,3,3,2,3,3,2,3,3,3,2,2,3,3,1,3,1,2,1,1,1,7,4,1,1,1,7,99,99,99,99,99,99,7,1,1,1,1,5,4,6,3,5,4,6,5,6,6,6,6,6,6,6,6,4,4,4,4,2,2,3,1,7,1,7,3,5,7,6,2,7,4,1,4,1,2,33,1
4,1,5,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,2,3,5,2,4,4,5,4,4,5,4,5,3,3,3,3,3,2,3,5,2,3,4,1,2,1,4,1,1,1,4,1,3,3,99,3,3,3,3,3,3,1,3,3,3,1,2,2,2,1,1,2,1,2,5,5,1,1,1,5,5,1,4,2,7,4,6,1,1,5,4,5,5,4,4,4,4,5,5,5,4,5,4,7,4,1,2,3,1,4,3,4,1,2,2,6,5,7,4,6,2,6,4,1,4,1,1,39,2
4,2,4,4,3,3,4,3,3,3,4,4,4,3,4,3,4,4,2,3,3,2,4,4,2,2,3,4,4,4,3,5,4,3,2,2,2,2,2,3,2,2,3,2,3,2,3,3,3,1,3,3,2,3,3,2,3,3,3,1,2,2,3,1,3,3,4,2,2,3,2,5,2,2,4,4,99,99,99,2,99,2,99,99,2,1,1,3,2,3,2,4,2,2,2,4,4,6,3,4,4,4,5,3,3,2,3,3,3,3,2,3,2,6,4,6,5,5,5,4,4,2,3,2,2,37,1
2,3,4,4,4,4,3,4,3,3,4,3,3,99,4,3,4,4,3,4,4,4,2,4,4,2,3,4,3,4,2,2,2,2,3,3,2,2,2,3,4,1,3,3,4,4,2,2,3,1,3,3,2,3,2,3,2,2,2,1,2,2,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,99,99,1,1,1,4,5,4,5,2,5,5,5,4,4,6,4,4,3,3,4,3,5,3,4,4,2,1,3,4,4,5,3,4,6,6,4,3,2,3,2,3,3,34,1
5,3,4,5,5,4,5,5,4,5,5,4,5,4,4,5,3,4,2,4,5,3,4,4,4,4,3,5,5,5,5,5,4,4,3,3,2,4,4,4,2,2,5,5,5,2,2,4,3,1,3,3,3,3,3,3,3,3,3,3,99,3,3,1,3,2,2,2,2,4,4,5,5,1,1,5,3,4,2,2,7,5,7,99,7,1,1,4,1,5,4,4,4,2,4,7,3,3,4,3,3,2,4,4,4,3,2,2,2,2,2,2,4,2,3,2,3,2,5,6,4,2,3,2,2,36,2
4,2,5,4,4,4,4,4,99,5,4,5,4,5,4,3,4,4,3,3,4,2,4,4,3,3,4,5,4,5,4,3,2,4,4,2,2,5,5,4,2,1,4,4,4,4,5,4,3,1,3,3,3,3,3,2,3,3,3,1,3,3,3,1,2,2,2,1,5,5,2,4,2,1,1,1,99,1,1,1,4,4,6,5,5,1,1,3,1,1,2,4,2,3,3,4,6,6,5,6,4,4,6,4,4,4,3,2,2,2,2,3,3,6,5,4,5,2,2,2,3,2,2,2,2,58,2
3,3,3,3,4,4,3,4,3,3,3,4,4,3,4,3,3,2,3,4,4,2,4,3,4,3,2,4,3,4,2,3,4,4,3,3,4,4,2,4,4,3,4,2,4,2,2,4,2,1,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,2,4,1,1,1,3,5,1,1,1,2,99,99,99,99,99,99,1,99,3,1,1,3,5,5,4,3,4,4,4,3,4,4,4,5,4,3,5,3,3,3,3,4,4,2,4,3,5,4,5,5,5,3,5,4,2,2,2,2,3,49,1
5,1,4,4,4,4,4,4,4,3,5,3,3,4,4,3,5,3,2,4,5,1,4,5,2,4,3,4,4,5,3,4,4,3,3,2,3,5,4,4,3,1,3,2,4,1,2,3,1,1,3,3,3,3,3,3,3,3,3,99,3,3,3,3,2,2,3,1,1,2,5,5,4,1,1,1,1,1,1,2,5,4,7,7,7,1,1,4,2,2,3,3,4,2,4,6,7,6,6,7,3,5,6,3,4,4,4,2,2,2,1,2,2,6,2,6,6,5,4,6,4,1,3,2,2,63,2
4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,5,3,5,4,5,3,4,5,4,5,4,5,4,4,4,4,2,4,4,4,4,1,4,2,5,1,4,3,5,1,3,3,3,3,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,5,1,5,7,1,6,1,1,1,1,5,5,6,6,1,1,1,5,6,4,6,3,4,2,2,6,5,5,5,6,4,6,6,2,4,4,4,2,2,2,4,2,2,5,3,6,6,5,5,5,3,3,2,2,2,31,1
4,2,5,4,5,3,3,3,4,5,4,4,3,4,5,3,3,4,1,5,4,2,4,5,4,3,3,5,5,5,3,4,5,4,5,3,2,5,5,4,3,1,4,3,5,2,3,3,4,1,3,3,99,3,3,3,2,3,3,99,3,3,3,3,2,1,1,4,2,1,3,2,6,4,1,4,99,99,99,99,99,99,5,99,4,1,1,4,6,5,5,6,3,3,5,6,6,6,4,7,4,4,6,4,4,3,2,3,2,3,2,1,3,2,2,7,5,1,5,7,4,2,4,2,3,46,2
4,2,4,4,4,4,2,4,4,3,4,4,4,3,4,4,4,2,2,4,4,2,4,2,4,2,2,4,4,4,2,4,4,4,3,4,2,4,4,4,2,3,4,4,5,2,4,2,2,1,3,3,2,3,3,3,2,3,3,1,2,2,3,1,4,3,3,2,1,5,5,5,6,1,1,5,6,1,1,1,6,5,6,99,3,1,1,3,3,5,3,3,2,3,3,2,3,5,3,5,3,3,5,4,4,4,4,2,2,2,5,2,3,2,5,5,3,2,5,3,2,3,2,2,4,47,1
4,2,5,4,4,4,4,5,5,4,4,5,4,4,5,4,4,4,1,4,5,3,4,4,5,4,5,4,5,4,4,4,4,4,4,3,2,3,4,4,3,1,4,3,4,2,3,4,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,1,6,4,4,3,6,7,5,5,5,3,3,6,5,7,6,3,7,7,2,5,2,5,6,2,4,5,6,6,6,5,7,6,7,7,4,4,4,4,1,2,2,3,2,5,5,6,6,6,5,6,6,3,2,3,2,3,46,1
5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1,4,5,2,5,4,4,3,4,5,5,5,3,5,3,2,2,3,3,3,4,4,2,1,4,1,4,3,1,3,1,1,3,3,99,3,3,99,3,3,3,1,3,3,3,1,3,4,4,1,1,3,5,2,2,3,1,1,99,99,99,99,99,99,99,99,6,1,1,4,1,5,5,4,4,2,5,4,5,6,6,5,4,4,5,2,3,3,3,1,1,2,4,2,5,5,5,4,2,4,4,5,4,1,4,1,1,56,2
4,2,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,5,2,3,4,2,4,3,4,3,4,3,3,3,3,3,4,4,4,4,3,4,4,4,2,3,3,4,4,3,2,3,4,1,3,3,3,3,3,3,3,3,3,1,2,1,3,1,3,3,3,6,5,3,2,4,4,6,6,5,5,2,4,2,6,3,4,1,3,7,7,4,4,5,4,4,4,4,4,3,3,3,4,3,4,3,5,3,3,2,3,4,3,4,4,4,5,5,5,3,4,3,3,5,3,3,3,2,2,38,2
5,2,4,5,4,5,4,4,4,5,5,5,4,3,5,5,4,5,1,4,5,2,5,5,5,4,3,5,4,5,4,3,4,3,4,4,2,4,4,5,3,1,5,3,4,3,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,5,4,5,5,1,1,1,7,1,1,1,5,5,99,99,4,1,1,1,1,1,1,4,1,2,1,6,7,7,6,6,4,7,7,3,4,4,3,2,2,2,1,6,2,7,6,6,4,7,2,6,4,1,3,1,1,47,2
4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,5,5,4,4,4,2,4,4,3,3,3,5,2,4,3,4,3,4,4,3,4,5,1,3,3,3,3,3,3,3,3,3,3,99,3,3,3,2,2,2,2,2,2,2,3,1,1,1,3,2,2,2,2,3,2,7,2,2,1,1,5,1,4,4,5,5,4,5,5,7,5,3,5,4,5,4,3,2,3,2,3,2,3,4,3,5,2,4,3,3,3,2,6,3,2,3,2,2,36,1
5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,2,5,2,5,4,5,4,3,5,5,5,3,4,1,4,4,3,4,4,5,5,3,1,4,3,5,1,4,4,4,1,3,99,99,3,3,99,99,3,3,99,99,99,3,3,3,2,2,1,1,5,3,5,1,1,1,1,7,1,1,1,5,1,7,99,7,1,1,4,2,4,3,6,3,4,4,5,5,6,6,6,5,6,5,4,4,4,3,2,2,2,1,2,5,7,5,7,5,4,5,6,4,2,4,1,1,49,2
3,2,4,4,4,5,3,3,3,3,4,4,4,4,4,3,3,4,3,4,4,2,4,4,5,3,4,4,4,5,3,4,2,4,4,3,2,5,4,4,4,99,4,2,4,2,3,4,2,1,3,3,3,3,3,2,3,3,3,1,2,3,3,2,3,3,3,1,1,1,5,5,5,1,1,3,4,1,1,1,7,1,3,99,99,1,1,4,4,3,4,6,3,4,4,5,5,5,5,6,6,6,5,4,5,3,4,3,3,3,2,2,3,5,6,5,6,4,3,5,2,2,2,3,3,53,1
4,2,4,5,4,5,3,4,4,5,5,5,5,5,4,4,4,5,1,4,4,2,5,2,3,2,4,5,4,4,2,4,3,3,4,3,3,5,2,5,2,5,3,2,5,2,1,5,3,1,3,3,99,3,3,3,3,3,3,99,99,3,3,99,2,2,2,1,1,1,4,6,1,1,1,1,7,7,1,2,7,4,6,5,1,1,1,3,3,3,4,5,3,4,4,4,4,6,5,6,6,6,5,4,4,5,4,2,2,2,5,4,3,7,3,4,5,5,2,5,4,1,4,3,3,29,2
4,1,4,5,4,4,3,4,4,4,3,4,4,4,3,3,4,5,2,3,5,2,4,4,3,3,4,4,4,4,4,3,4,3,4,3,4,2,2,4,5,1,3,2,4,1,5,3,3,1,3,3,99,3,3,99,99,3,3,99,99,3,3,1,1,1,2,4,1,3,4,2,4,1,7,4,99,99,99,99,99,99,99,99,1,1,1,3,2,4,3,3,4,1,4,5,5,5,5,5,4,5,5,3,4,3,2,2,2,2,1,3,1,7,2,3,3,7,1,6,4,1,4,1,2,26,2
5,1,5,5,5,4,5,5,3,5,5,5,4,5,5,3,5,4,1,5,5,1,5,3,4,3,5,5,5,5,4,4,5,3,5,3,2,5,3,4,3,1,3,1,5,1,4,4,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,1,6,7,1,1,99,99,99,99,99,99,99,99,7,1,1,1,1,3,1,5,4,1,1,7,7,7,5,7,7,7,7,5,5,5,5,1,1,1,6,5,6,7,7,2,6,4,2,3,4,1,4,1,4,43,2
4,5,4,4,4,4,4,4,4,5,3,4,5,3,4,4,4,3,4,4,3,5,4,4,5,4,5,3,4,5,4,4,4,5,5,4,3,5,5,4,4,4,3,4,4,5,3,4,4,1,3,2,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,5,5,5,5,4,6,4,5,6,6,6,6,7,6,5,7,6,6,1,7,6,6,5,5,6,5,6,5,6,6,5,7,5,6,6,7,4,5,4,4,5,5,4,5,6,6,5,6,7,6,5,6,6,4,3,3,4,3,32,1
4,1,4,4,4,5,4,5,5,4,5,5,5,5,4,4,5,5,1,4,5,2,5,3,4,3,4,5,4,5,3,4,2,4,5,2,2,5,5,4,2,1,5,3,5,2,1,3,5,1,3,3,99,3,3,3,3,3,3,1,2,2,3,99,1,1,2,5,1,1,1,1,6,1,1,6,99,99,99,99,99,99,7,99,6,1,1,1,1,3,2,1,1,1,1,5,4,7,5,4,3,2,6,4,4,4,3,1,1,1,3,3,6,5,5,6,5,2,5,4,2,3,2,2,3,37,1
2,2,4,4,4,4,3,4,3,1,2,2,3,4,4,4,3,4,1,4,4,3,4,4,5,3,3,2,3,3,3,4,2,3,4,3,3,4,4,3,4,1,3,2,1,1,3,4,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,2,2,3,4,2,5,3,1,5,5,1,5,1,4,2,2,5,5,1,1,3,5,2,5,5,3,6,5,5,3,4,4,4,5,6,4,2,2,2,2,4,4,3,2,4,3,5,4,5,3,5,3,6,3,2,3,2,2,35,1
3,1,5,5,4,4,4,5,3,4,4,4,3,5,4,5,5,4,2,5,5,2,4,5,4,4,4,4,4,4,4,5,5,4,5,3,4,5,5,4,3,2,4,4,4,4,4,3,4,1,3,3,2,3,3,2,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,5,5,2,1,3,99,99,99,99,99,99,1,1,2,1,1,2,3,3,3,3,4,2,3,2,4,5,4,4,2,2,4,4,4,4,2,4,3,3,2,5,2,5,5,6,3,3,5,5,3,2,2,3,3,57,1
4,1,5,4,3,4,3,3,3,3,3,5,3,3,3,3,3,3,2,4,5,1,4,5,5,3,3,5,4,4,3,5,3,3,4,2,2,4,3,3,4,1,3,1,3,1,2,3,4,1,3,3,99,3,3,99,3,3,3,1,99,3,3,1,2,2,1,1,1,4,1,1,6,1,1,1,99,99,99,99,99,99,99,99,5,1,1,4,1,5,1,6,4,5,5,3,3,4,4,4,4,4,7,4,4,3,3,2,2,2,3,4,3,5,3,5,5,5,4,4,4,1,3,1,1,53,1
4,2,5,3,4,2,5,5,4,4,5,2,4,5,4,4,5,4,2,5,5,2,5,4,5,3,4,2,4,5,2,3,2,2,3,2,2,3,2,4,3,99,3,3,4,2,3,5,4,1,3,3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,2,2,2,2,1,5,2,4,2,2,2,2,4,1,6,6,4,4,7,1,5,3,6,4,2,3,5,5,5,3,4,5,6,2,3,5,3,4,4,2,4,2,2,6,3,3,5,6,3,5,5,5,2,3,2,2,2,3,58,2
3,3,4,4,4,4,3,4,4,3,3,4,4,4,3,4,3,3,2,4,3,3,4,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,2,3,3,4,3,4,4,4,1,3,3,99,3,99,3,3,2,99,3,99,2,99,3,3,2,2,2,2,2,3,3,3,3,3,2,6,5,5,5,6,6,99,99,3,1,1,3,2,4,3,5,3,5,5,6,5,6,4,5,4,5,5,4,4,4,3,2,3,2,3,3,3,5,4,5,3,5,3,5,2,2,2,2,2,38,1
4,1,4,5,5,4,3,3,3,3,4,5,4,4,5,3,1,4,1,4,5,1,4,5,3,2,4,4,4,3,5,4,4,3,5,1,1,5,5,3,1,1,3,2,5,1,3,2,4,1,3,3,99,3,3,3,3,3,3,1,3,99,3,2,1,1,1,4,7,5,1,1,2,4,4,4,1,4,1,1,7,5,7,7,7,1,1,5,3,7,6,4,6,5,5,4,6,6,5,4,3,4,7,4,4,4,4,2,2,2,2,1,5,6,4,5,6,5,5,5,4,1,4,1,1,36,2
3,2,4,3,4,4,3,4,3,3,3,4,3,4,4,3,4,4,2,4,5,3,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,2,1,3,3,2,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,1,5,3,3,3,3,1,3,4,3,3,2,4,2,5,5,2,1,1,5,5,5,5,3,4,4,4,5,4,5,4,5,5,4,3,3,4,4,3,2,2,3,3,5,3,4,5,5,4,5,3,3,3,2,3,2,3,40,1
4,2,4,4,5,3,4,4,4,4,2,5,3,3,4,4,4,3,2,4,5,2,4,4,4,4,3,3,5,4,3,4,4,5,4,3,4,4,4,2,3,3,4,3,4,3,4,3,3,1,3,3,2,3,3,99,3,3,3,99,99,3,3,1,1,1,1,1,1,3,4,3,6,3,1,5,3,4,4,2,6,5,5,1,3,1,1,5,4,4,4,4,5,4,3,5,4,5,5,5,4,4,3,3,4,4,4,3,3,2,3,4,3,5,5,4,6,5,5,4,3,2,3,3,3,63,1
3,1,4,4,4,3,3,3,4,3,3,3,3,3,4,4,3,3,1,4,5,2,4,4,4,4,4,4,5,3,3,4,1,2,4,2,3,5,4,4,3,1,4,1,4,1,4,3,2,1,3,3,2,3,3,99,3,3,3,2,2,2,3,99,1,2,1,1,1,5,2,1,4,1,1,1,5,1,1,1,7,1,99,99,2,1,1,3,4,5,4,5,3,5,6,5,5,5,6,6,5,5,6,4,4,3,4,2,2,2,3,1,2,6,2,6,6,6,2,5,4,2,4,2,2,44,2
3,1,3,3,4,4,2,5,5,3,5,2,5,3,4,4,5,5,2,4,5,3,4,3,4,2,5,4,2,5,2,3,1,2,2,4,3,3,3,5,5,99,4,2,3,3,3,3,3,1,3,2,2,3,3,2,2,3,3,1,2,99,3,2,1,1,1,4,4,2,2,2,2,3,4,1,2,4,2,2,5,2,99,99,6,1,1,3,3,3,3,6,3,2,4,7,5,7,5,7,4,5,7,4,5,4,4,2,1,1,3,2,3,5,5,3,5,6,5,5,4,4,2,3,4,44,1
4,4,4,4,3,4,3,4,5,4,4,4,4,4,5,4,4,4,2,4,4,2,4,4,4,3,4,4,4,4,4,4,3,4,4,3,2,4,4,2,2,2,4,4,4,4,4,3,4,1,3,3,3,3,3,3,3,3,3,1,3,3,3,1,4,2,3,1,1,5,2,2,2,5,1,1,2,3,2,2,5,2,5,2,5,1,7,4,4,5,4,5,4,3,5,6,5,5,5,6,5,4,5,4,4,2,4,2,2,2,5,3,5,3,2,5,5,5,3,5,2,3,2,2,3,32,2
4,2,4,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,4,2,1,1,1,1,2,1,1,2,1,4,4,1,4,1,5,4,2,2,4,99,1,99,1,1,2,2,4,1,3,3,2,3,3,3,2,3,3,1,2,2,3,1,3,3,3,1,1,1,1,2,1,1,1,1,1,1,5,1,5,1,99,99,1,1,1,7,7,7,7,7,2,6,7,1,7,1,6,1,1,1,4,2,3,2,1,5,4,5,2,6,1,3,6,3,2,6,2,7,4,1,4,1,1,38,1
3,2,2,99,4,99,99,3,99,4,3,2,4,99,4,4,3,4,1,5,4,2,4,2,5,2,99,4,4,5,3,4,2,3,4,3,3,4,3,3,3,1,2,2,3,3,4,99,3,1,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,2,4,1,1,4,2,1,1,1,1,1,1,7,1,1,6,1,99,99,7,1,1,2,2,4,2,5,2,3,4,1,2,6,4,6,1,5,7,3,3,4,2,4,2,4,2,5,2,3,5,4,4,6,2,5,4,1,4,1,1,54,1
3,5,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,1,4,5,2,4,4,5,4,4,4,5,4,3,5,3,2,3,2,2,5,4,4,3,1,3,3,5,3,2,3,3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,1,1,1,2,5,1,5,5,6,7,3,4,4,5,3,3,2,5,3,7,99,5,1,1,3,2,5,2,5,3,1,2,6,5,5,5,4,5,4,6,4,4,3,4,1,2,1,3,2,5,1,5,5,5,2,6,3,3,1,3,2,2,42,2
3,2,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4,3,3,3,4,4,4,4,3,3,4,4,4,1,4,4,3,5,3,1,4,1,4,2,1,2,2,1,3,99,99,3,3,3,3,3,3,99,3,3,3,3,4,4,4,1,1,1,4,4,3,1,1,1,99,99,99,99,99,99,7,99,3,1,1,4,2,4,4,6,4,4,4,6,6,6,4,6,4,5,6,4,4,4,4,2,2,2,1,2,5,5,1,7,5,4,5,7,4,1,3,2,3,53,2
4,2,5,4,4,4,3,4,4,3,4,4,4,4,4,4,3,5,1,5,4,3,4,4,3,4,4,4,3,4,3,5,3,3,4,3,2,4,4,4,3,2,3,3,4,2,4,5,4,1,3,99,99,3,3,3,3,3,3,99,3,3,3,1,2,2,2,6,3,3,3,4,6,5,7,6,4,5,6,3,6,3,7,99,6,1,1,4,4,5,4,5,4,5,4,4,4,4,4,4,4,4,6,3,4,4,3,3,3,3,1,5,1,7,5,3,5,7,1,5,4,1,3,2,2,29,2
5,1,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,5,1,5,2,5,4,4,5,5,5,5,4,5,3,5,2,1,5,5,5,4,1,5,1,5,1,1,3,5,1,3,3,2,3,3,3,3,3,3,3,3,3,3,1,1,1,2,1,5,5,5,1,5,1,1,5,99,99,99,99,99,99,7,99,3,1,1,5,1,2,2,4,1,1,4,6,6,7,6,7,7,7,7,4,3,4,4,2,2,2,1,5,5,7,2,7,5,6,6,7,4,1,4,1,1,24,2
4,1,3,5,3,5,4,3,4,4,5,4,4,5,4,4,4,5,2,3,4,2,4,3,2,2,4,4,2,4,3,3,3,5,4,3,2,4,5,5,3,4,4,2,5,1,3,4,4,1,3,2,3,3,2,2,2,3,3,1,2,2,3,1,4,3,4,5,3,4,4,4,5,5,7,5,5,6,1,6,7,4,7,4,1,1,1,4,5,6,5,3,5,4,5,4,3,4,3,4,2,3,5,4,3,2,4,2,3,3,2,3,3,6,2,5,5,6,4,6,3,1,3,2,3,31,1
4,2,3,4,4,4,3,5,3,4,4,4,4,3,4,2,5,4,1,4,3,3,4,3,4,4,3,5,3,4,5,4,5,3,5,3,3,4,3,4,4,1,4,3,5,2,2,4,4,1,3,3,2,3,3,2,2,3,3,3,2,2,3,3,4,4,4,4,1,4,5,1,1,1,4,1,99,99,99,99,99,99,7,99,1,1,1,4,4,5,5,5,3,4,4,4,4,4,4,6,4,2,6,4,4,3,4,2,3,4,3,2,1,3,5,6,4,5,5,7,3,3,2,1,3,38,1
2,2,4,4,2,5,3,4,3,3,4,4,4,4,4,3,4,4,3,3,3,3,3,4,2,3,2,4,3,5,4,2,2,4,3,2,2,4,3,4,3,1,4,1,4,2,2,4,5,1,3,99,2,99,3,2,2,99,3,1,2,2,3,99,4,3,4,3,2,3,3,3,6,1,1,1,5,2,3,3,5,4,5,99,3,1,1,3,2,4,3,4,4,4,5,3,4,5,3,4,2,4,5,3,3,2,3,2,2,2,1,4,5,5,2,6,4,3,5,6,4,1,3,1,2,41,1
4,2,5,5,4,4,4,5,4,4,4,4,5,5,5,4,5,5,1,4,4,2,5,4,4,3,3,5,4,5,3,4,5,3,4,3,2,4,4,4,3,2,4,3,4,2,3,4,5,1,3,3,99,3,3,99,99,3,3,1,3,3,3,99,3,3,3,5,1,4,2,4,6,1,1,2,1,5,5,3,6,7,4,99,5,1,1,4,3,4,3,6,4,3,4,3,3,6,6,5,4,4,4,4,4,4,3,2,1,2,4,3,4,6,5,5,5,5,3,5,2,2,2,1,2,28,1
3,1,5,5,4,4,5,4,3,4,5,4,4,5,4,4,4,4,1,4,5,2,4,4,5,3,3,4,4,4,4,4,4,2,2,2,2,4,2,2,3,1,2,2,4,1,2,2,2,1,3,3,99,99,3,3,3,3,3,1,3,3,3,99,2,1,2,1,1,2,5,5,1,1,5,1,99,99,99,99,99,99,5,99,3,1,1,4,2,3,3,5,2,4,4,5,5,5,5,5,5,6,6,2,3,4,2,4,4,4,1,2,3,6,3,6,4,5,3,6,3,1,3,2,2,31,2
3,1,5,4,3,3,3,5,4,5,4,4,4,3,5,4,4,5,2,3,5,3,5,2,3,3,4,5,4,5,4,4,5,3,4,2,2,4,4,5,2,1,5,2,5,2,4,4,3,1,3,3,3,3,3,3,3,3,3,1,99,3,3,2,2,2,2,1,1,1,2,1,6,1,7,1,99,99,99,99,99,99,7,99,7,1,1,3,3,2,2,2,2,2,3,6,6,6,6,6,5,5,6,3,3,3,3,2,2,2,1,2,2,6,3,7,5,7,4,7,4,1,4,1,1,35,1
